song_name,artist_name,release_date,popularity,genres,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Living Proof,Camila Cabello,2019-11-15,83,dance pop,94,0.109,0.735,194440.0,0.514,0.0,7,0.359,-5.4639999999999995,1,0.08199999999999999,77.566,0.517
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,2019-11-22,85,grime,82,0.00838,0.8170000000000001,216707.0,0.7809999999999999,5.21e-06,7,0.12300000000000001,-4.178,0,0.11199999999999999,104.0,0.359
Who Needs Love,Trippie Redd,2019-11-19,76,melodic rap,92,0.763,0.85,158532.0,0.516,0.0,0,0.0896,-7.664,0,0.0714,108.963,0.8740000000000001
Tongue Tied (with YUNGBLUD & blackbear),Marshmello,2019-11-13,82,brostep,90,0.0208,0.628,186024.0,0.821,0.0,1,0.426,-2.721,0,0.0525,93.001,0.465
Lose Control,MEDUZA,2019-10-11,92,pop house,84,0.129,0.598,168387.0,0.526,0.0,10,0.14,-8.658999999999999,0,0.0415,123.935,0.529
Tusa,KAROL G,2019-11-07,91,latin,89,0.295,0.8029999999999999,200960.0,0.715,0.000134,2,0.0574,-3.28,1,0.298,101.085,0.574
How Do You Sleep?,Sam Smith,2019-07-19,95,pop,92,0.153,0.47700000000000004,202205.0,0.682,0.0,1,0.0763,-4.931,0,0.0925,110.56700000000001,0.345
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,2019-09-06,92,dfw rap,100,0.0906,0.499,229573.0,0.8,0.0,1,0.147,-2.665,0,0.0502,139.91899999999998,0.272
BOP,DaBaby,2019-09-27,90,nc hip hop,93,0.18899999999999997,0.769,159715.0,0.787,0.0,11,0.129,-3.909,1,0.36700000000000005,126.77,0.836
Vete,Bad Bunny,2019-11-21,90,latin,97,0.0363,0.8859999999999999,192024.0,0.672,8.78e-06,1,0.10099999999999999,-4.394,1,0.188,91.976,0.526
Used To Love (with Dean Lewis),Martin Garrix,2019-10-31,87,big room,87,0.45799999999999996,0.6509999999999999,236765.0,0.693,0.0,4,0.335,-4.7219999999999995,1,0.0375,118.97,0.392
